epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,251.413,1.02612,1.10899,1.16416,0.41587,0.26057,0.32701,0.13402,1.15467,1.9395,1.49275,0.00062216,0.00062216,0.00062216
62,255.437,1.02383,1.11483,1.19206,0.48278,0.20257,0.25798,0.13455,1.27445,1.84641,1.53351,0.000609364,0.000609364,0.000609364
63,259.083,1.04072,1.04062,1.15269,0.43219,0.30057,0.31509,0.14603,1.21897,1.67077,1.52476,0.000596576,0.000596576,0.000596576
64,262.793,1.03138,1.08171,1.18109,0.36893,0.40324,0.29038,0.14878,1.21088,1.71379,1.62736,0.000583806,0.000583806,0.000583806
65,266.615,0.99669,1.08165,1.16614,0.38816,0.41114,0.34872,0.15622,1.1975,1.69893,1.65933,0.000571062,0.000571062,0.000571062
66,270.479,1.00604,1.1083,1.16396,0.41904,0.40314,0.36726,0.14939,1.18031,1.69875,1.70999,0.000558354,0.000558354,0.000558354
67,274.129,1.03775,1.12773,1.18305,0.23729,0.36114,0.29029,0.11694,1.18437,1.74049,1.62114,0.000545689,0.000545689,0.000545689
68,277.934,1.00374,1.03149,1.15401,0.43179,0.40314,0.30903,0.13222,1.1021,1.64991,1.43077,0.000533076,0.000533076,0.000533076
69,281.87,1.01939,1.09126,1.16115,0.36823,0.32114,0.29275,0.1135,1.1866,1.70474,1.46818,0.000520524,0.000520524,0.000520524
70,285.503,0.99129,1.04938,1.15338,0.41231,0.33342,0.29683,0.10569,1.20513,1.8025,1.47646,0.000508043,0.000508043,0.000508043
71,289.171,0.98626,1.01841,1.14877,0.31954,0.35362,0.26171,0.09486,1.20661,1.8014,1.42535,0.000495639,0.000495639,0.000495639
72,293.029,0.96213,1.01106,1.17304,0.29846,0.31649,0.24683,0.0998,1.17209,2.06169,1.44803,0.000483322,0.000483322,0.000483322
73,296.752,0.93718,1.00319,1.16265,0.36034,0.34374,0.32119,0.12429,1.10407,1.97972,1.42288,0.0004711,0.0004711,0.0004711
74,300.401,0.91781,0.97405,1.1547,0.40461,0.3841,0.31603,0.15952,1.0793,1.56038,1.39228,0.000458982,0.000458982,0.000458982
75,304.172,0.93126,0.97754,1.13433,0.41592,0.40559,0.35293,0.17675,1.0851,1.47492,1.38297,0.000446975,0.000446975,0.000446975
76,308.156,0.91488,0.97903,1.1406,0.42341,0.4114,0.37317,0.18015,1.10065,1.45832,1.36928,0.000435089,0.000435089,0.000435089
77,311.983,0.94353,0.98431,1.12574,0.45498,0.42246,0.3815,0.19772,1.07622,1.43602,1.36931,0.000423331,0.000423331,0.000423331
78,316.521,0.92661,0.91114,1.14723,0.41445,0.42277,0.39013,0.20158,1.00984,1.37204,1.34136,0.000411709,0.000411709,0.000411709
