epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,166.44,1.02068,1.06853,1.20562,0.34866,0.36417,0.27269,0.18553,1.00443,1.46771,1.42535,0.000483322,0.000483322,0.000483322
73,168.728,0.99259,1.06743,1.21127,0.50936,0.39619,0.33802,0.20005,0.9994,1.47234,1.42242,0.0004711,0.0004711,0.0004711
74,170.588,0.96414,1.03593,1.19432,0.45711,0.37491,0.32443,0.19948,0.92483,1.35031,1.36628,0.000458982,0.000458982,0.000458982
75,172.45,0.9865,1.02743,1.18751,0.5239,0.33631,0.34736,0.18108,0.96773,1.38493,1.42015,0.000446975,0.000446975,0.000446975
76,174.267,0.95962,1.01577,1.20561,0.46396,0.31162,0.27706,0.1396,1.07305,2.05929,1.47458,0.000435089,0.000435089,0.000435089
77,176.142,0.99667,1.0553,1.20088,0.39643,0.27514,0.2489,0.12431,1.06102,2.04963,1.42609,0.000423331,0.000423331,0.000423331
78,178.023,0.98173,0.99588,1.18817,0.42669,0.26057,0.25957,0.1486,1.08919,2.21771,1.44753,0.000411709,0.000411709,0.000411709
79,180.432,1.00778,1.0094,1.16542,0.46448,0.26057,0.26137,0.14258,1.1055,2.2659,1.45147,0.000400231,0.000400231,0.000400231
80,182.424,0.98341,1.03849,1.20348,0.38813,0.28762,0.28338,0.14702,1.08377,1.57209,1.44504,0.000388906,0.000388906,0.000388906
81,184.245,0.95419,1.02061,1.18949,0.36183,0.29523,0.24317,0.12526,1.04179,1.66508,1.44028,0.00037774,0.00037774,0.00037774
82,186.078,1.0123,1.02104,1.17928,0.38758,0.18868,0.21645,0.09266,1.05526,2.20177,1.47559,0.000366742,0.000366742,0.000366742
83,187.938,0.95608,1.0189,1.18268,0.21822,0.21057,0.20332,0.08364,1.08329,2.5833,1.47796,0.000355919,0.000355919,0.000355919
84,189.776,0.98445,0.98425,1.16104,0.20889,0.21057,0.18058,0.08605,1.06548,2.74649,1.44931,0.000345278,0.000345278,0.000345278
85,191.939,0.94679,0.95427,1.1473,0.22323,0.20905,0.18886,0.09163,1.07648,2.35957,1.4249,0.000334827,0.000334827,0.000334827
86,194.09,0.95494,0.96162,1.14262,0.3879,0.20905,0.22214,0.10619,1.07443,2.05789,1.41731,0.000324573,0.000324573,0.000324573
87,195.929,0.91986,1.00474,1.17663,0.3303,0.22657,0.23482,0.11261,1.04145,1.88909,1.41181,0.000314523,0.000314523,0.000314523
88,197.841,0.9658,0.98774,1.16296,0.27208,0.28964,0.19064,0.10342,1.03435,1.58392,1.38068,0.000304684,0.000304684,0.000304684
89,199.653,0.9627,0.9222,1.13733,0.20596,0.29784,0.17942,0.09602,1.05165,1.73259,1.39675,0.000295062,0.000295062,0.000295062
90,201.491,0.90772,0.91693,1.13609,0.19585,0.33141,0.18639,0.09489,1.04704,1.77278,1.38731,0.000285665,0.000285665,0.000285665
91,203.317,0.94099,0.94341,1.16159,0.21703,0.31162,0.19797,0.09845,1.05982,1.70859,1.40738,0.000276498,0.000276498,0.000276498
92,205.752,0.93546,0.95247,1.14532,0.31618,0.26063,0.22471,0.124,1.09283,1.65941,1.48219,0.000267568,0.000267568,0.000267568
93,207.718,0.90745,0.96078,1.16404,0.37848,0.26947,0.25575,0.14768,1.05498,1.50853,1.46893,0.000258881,0.000258881,0.000258881
94,209.553,0.91867,1.016,1.16102,0.3908,0.30747,0.26821,0.15587,0.99949,1.46383,1.44191,0.000250443,0.000250443,0.000250443
95,211.384,0.91273,0.8831,1.15286,0.48922,0.28714,0.29402,0.15938,0.98832,1.42866,1.45409,0.00024226,0.00024226,0.00024226
96,213.233,0.87043,0.93435,1.16642,0.49524,0.28714,0.29196,0.15717,1.01208,1.34834,1.45658,0.000234337,0.000234337,0.000234337
97,215.074,0.89886,0.89493,1.12919,0.41656,0.28714,0.27106,0.15022,1.02977,1.42447,1.46487,0.00022668,0.00022668,0.00022668
98,217.104,0.87363,0.92993,1.1543,0.39918,0.27114,0.24201,0.13459,1.04229,1.4877,1.44013,0.000219294,0.000219294,0.000219294
99,219.36,0.88012,0.95234,1.15954,0.34071,0.33217,0.27809,0.13314,1.05831,1.51746,1.439,0.000212184,0.000212184,0.000212184
100,221.311,0.89248,0.91327,1.15001,0.2908,0.35141,0.20505,0.10745,1.07908,1.64635,1.46087,0.000205355,0.000205355,0.000205355
101,223.207,0.87054,0.93552,1.13725,0.3167,0.33714,0.2165,0.10838,1.08755,1.63414,1.4707,0.000198812,0.000198812,0.000198812
102,225.054,0.89134,0.9198,1.14173,0.30068,0.3532,0.24152,0.12156,1.06071,1.53189,1.43795,0.000192559,0.000192559,0.000192559
103,226.894,0.88648,0.93857,1.13512,0.389,0.31962,0.2901,0.14138,1.06299,1.5157,1.43875,0.0001866,0.0001866,0.0001866
104,228.775,0.85175,0.86221,1.12659,0.38857,0.33562,0.2939,0.14263,1.06474,1.45316,1.43922,0.00018094,0.00018094,0.00018094
105,231.012,0.8979,0.91716,1.13763,0.31006,0.35091,0.28249,0.14532,1.06123,1.49652,1.42697,0.000175582,0.000175582,0.000175582
106,233.136,0.8624,0.80935,1.11699,0.30098,0.33114,0.22283,0.12198,1.10668,1.59216,1.45126,0.000170531,0.000170531,0.000170531
107,235.035,0.88133,0.86488,1.13744,0.21565,0.28879,0.21433,0.09658,1.11455,1.75591,1.44232,0.000165789,0.000165789,0.000165789
108,236.883,0.90452,0.83829,1.12566,0.23456,0.2361,0.20067,0.0868,1.13538,1.84808,1.47195,0.000161359,0.000161359,0.000161359
109,238.724,0.8697,0.83988,1.12733,0.25068,0.24562,0.1996,0.08471,1.10287,1.8632,1.44089,0.000157246,0.000157246,0.000157246
110,240.576,0.88289,0.85236,1.12706,0.25267,0.23762,0.20486,0.08429,1.1038,1.83485,1.45065,0.000153451,0.000153451,0.000153451
111,245.38,0.83733,0.82159,1.10803,0.27557,0.25073,0.20836,0.08329,1.10835,1.84818,1.453,0.000149977,0.000149977,0.000149977
112,247.47,0.81128,0.75898,1.09763,0.32676,0.24267,0.21621,0.10113,1.15762,1.74958,1.49429,0.000146827,0.000146827,0.000146827
113,249.298,0.83158,0.75153,1.09465,0.32103,0.235,0.22171,0.10568,1.15505,1.70208,1.50576,0.000144002,0.000144002,0.000144002
114,251.183,0.80746,0.77067,1.09747,0.31431,0.24507,0.21753,0.09482,1.17112,1.79139,1.53582,0.000141506,0.000141506,0.000141506
115,253.033,0.83304,0.78337,1.0947,0.25083,0.24585,0.2173,0.09381,1.16319,1.80235,1.54797,0.000139338,0.000139338,0.000139338
116,254.942,0.81918,0.75516,1.08484,0.20632,0.22028,0.18366,0.07578,1.19562,2.16053,1.56742,0.000137502,0.000137502,0.000137502
117,257.422,0.80276,0.75526,1.09933,0.21355,0.21089,0.18783,0.08319,1.18335,2.22624,1.55104,0.000135998,0.000135998,0.000135998
118,259.366,0.82241,0.74771,1.10904,0.22622,0.19952,0.18394,0.08471,1.175,2.26381,1.54794,0.000134827,0.000134827,0.000134827
119,261.183,0.79106,0.74243,1.08037,0.22443,0.27408,0.2049,0.09653,1.16092,2.26259,1.5317,0.00013399,0.00013399,0.00013399
120,263.032,0.79462,0.74507,1.08431,0.26832,0.24152,0.20097,0.07872,1.167,2.31399,1.49182,0.000133488,0.000133488,0.000133488
